"ID"	"siteLAT"	"siteLON"	"eventLAT"	"eventLON"	"K"	"mag"	"depth"	"Is"	"I0"	"R"	"RExt"	"F11"	"F12"	"F21"	"F22"	"Length"	"MLH"	"MW"	"MWHARV"
"A01"	42.85	74.133333	42.7	74.1	15.6	6.5	15	9	9	16.8996709030894	517.65344801243	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.816667	73.85	42.7	74.1	15.6	6.5	15	8.5	9	24.1842976114087	194.142491830612	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.65	73.916667	42.7	74.1	15.6	6.5	15	8.5	9	15.9857485092759	382.688038854882	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.883333	74.366667	42.7	74.1	15.6	6.5	15	8	9	29.8169546345177	137.486200163167	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.85	74.233333	42.7	74.1	15.6	6.5	15	7.5	9	19.9155360681603	336.484937473295	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.816667	73.516667	42.7	74.1	15.6	6.5	15	7.5	9	49.359591365292	80.8093551073166	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.733333	74.6	42.7	74.1	15.6	6.5	15	7.5	9	41.0161682929929	50.7928441991827	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.866667	74.6	42.7	74.1	15.6	6.5	15	7.5	9	44.8157684465378	61.4985333360216	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.9	74.633333	42.7	74.1	15.6	6.5	15	7.5	9	48.866611076598	61.2436012286086	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.6	74.9	42.7	74.1	15.6	6.5	15	7.5	9	66.3655281861627	54.4832906168651	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.683333	74.883333	42.7	74.1	15.6	6.5	15	7	9	64.0481923177617	54.7152313446352	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.033333	74.7	42.7	74.1	15.6	6.5	15	6.5	9	61.3590351081369	69.8358473034416	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.85	75.3	42.7	74.1	15.6	6.5	15	6.5	9	99.3531171036946	96.0734802034949	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.883333	73.2	42.7	74.1	15.6	6.5	15	6	9	76.2147086514919	88.273166927175	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.966667	72.566667	42.7	74.1	15.6	6.5	15	6	9	128.498565605806	132.318902425553	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.533333	75.2	42.7	74.1	15.6	6.5	15	6	9	128.676020348992	130.521958119904	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.766667	75.766667	42.7	74.1	15.6	6.5	15	6	9	136.324308161792	133.919026918273	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.3	77.233333	42.7	74.1	15.6	6.5	15	6	9	263.382561367246	262.946613353611	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.35	74.983333	42.7	74.1	15.6	6.5	15	5.5	9	101.881112292081	104.921701650834	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.233333	76.9	42.7	74.1	15.6	6.5	15	5.5	9	235.406303194131	234.864525976648	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.983333	72.316667	42.7	74.1	15.6	6.5	15	5	9	148.769810593987	151.519559898686	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.016667	71.783333	42.7	74.1	15.6	6.5	15	5	9	192.079954181283	193.636553566263	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	42.9	71.366667	42.7	74.1	15.6	6.5	15	5	9	224.100568019572	225.114008857059	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	41.15	75.85	42.7	74.1	15.6	6.5	15	5	9	225.080700959244	222.455318411548	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
"A01"	43.233333	76.3	42.7	74.1	15.6	6.5	15	4	9	188.567983044994	187.906628189568	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199	11.4320522309688	6.182	6.20018	NA
