"ID"	"year"	"month"	"day"	"LON"	"LAT"	"strike"	"Imax"	"depth"	"MWHARVARD"	"K"	"MLH"	"MW"	"faultLength"	"F11"	"F12"	"F21"	"F22"
"G01"	1948	7	28	75.4	41.4	250	7	6	NA	13.6	5.242	5.58214	4.28229517950546	75.3759422469735	41.3934037052674	75.4240626168459	41.4065912561896
"D10"	1949	7	10	70.8	39.2	200	9	16	NA	17	6.84	6.8516	32.18133083058	70.7364134281791	39.0637859818646	70.8638326009209	39.3361759875874
"H01"	1954	12	3	74.8	41.4	250	7	15	NA	14	5.43	5.7081	5.23105155176437	74.77061283217	41.3919415932001	74.8293944255836	41.4080508883247
"E10"	1955	4	15	74.6	39.9	200	9	25	NA	16.4	6.558	6.57242	20.6523653825457	74.5587540383698	39.8125993969577	74.6413508845132	39.9873845753617
"A02"	1957	5	8	74.6	41.6	250	6	7	NA	13	4.96	5.3932	3.17181610554143	74.582125504584	41.5951148921146	74.6178771908339	41.6048823243403
"B02"	1958	10	13	75.1	41.6	250	6.5	12	NA	13	4.96	5.3932	3.17181610554143	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403
"C06"	1959	7	12	72.8	41.7	270	6	14	NA	12.9	4.913	5.36171	3.0170318852203	72.781877243985	41.6999985710839	72.818122756015	41.6999985710839
"D06"	1959	10	24	70	41.7	270	7	13	NA	14	5.43	5.7081	5.23105155176437	69.9685780357071	41.6999957043893	70.0314219642929	41.6999957043893
"C02"	1960	12	18	78.4	42.3	250	6	17	NA	12.8	4.866	5.33022	2.86980111505619	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506
"F10"	1961	4	27	72.9	39.65	200	6	26	NA	14.2	5.524	5.77108	5.78156216950208	72.888484477237	39.6255330468207	72.9115236436055	39.6744657073675
"E06"	1962	9	3	73.1	40.933333	270	7	20	NA	14	5.43	5.7081	5.23105155176437	73.0689440904871	40.9333288180124	73.1310559095129	40.9333288180124
"F06"	1963	10	19	71.616667	41.233333	270	6.5	8	NA	12.5	4.725	5.23575	2.46983249364757	71.6019371694699	41.2333320578929	71.6313968305302	41.2333320578929
"G06"	1965	3	17	69.366667	40.8	270	7	12	NA	13	4.96	5.3932	3.17181610554143	69.3478741693601	40.7999984696468	69.3854598306399	40.7999984696468
"D02"	1965	9	25	75.033333	41.533333	250	6	25	NA	13	4.96	5.3932	3.17181610554143	75.0154768664024	41.5284478385271	75.0511918199525	41.5382153843929
"E02"	1965	10	18	77.55	41.966667	250	6	15	NA	13	4.96	5.3932	3.17181610554143	77.5320233970563	41.9617821869954	77.567979348845	41.9715489936634
"H06"	1966	4	25	69.283333	41.383333	270	6	8	NA	13.3	5.101	5.48767	3.68546507499907	69.2613028266012	41.3833308912373	69.3053631733988	41.3833308912373
"A07"	1966	4	30	71.8	41.1	270	6.5	20	NA	13.6	5.242	5.58214	4.28229517950546	71.7745125440937	41.0999971810174	71.8254874559063	41.0999971810174
"B07"	1967	5	18	70.75	40.616667	270	6.5	25	NA	12	4.49	5.0783	1.92321129085007	70.7386362889001	40.6166664409671	70.7613637110999	40.6166664409671
"F02"	1967	9	28	79.7	42.1	250	6	18	NA	13.5	5.195	5.55065	4.07331972238907	79.6768662425025	42.0937264309482	79.7231383168419	42.106268897678
"G02"	1967	11	30	77.4	43	250	6	10	NA	12	4.49	5.0783	1.92321129085007	77.3889188175106	42.9970389767158	77.4110822465601	43.0029599488333
"H02"	1968	3	20	75.066667	41.15	250	5.5	17	NA	12.6	4.772	5.26724	2.59654348358632	75.0521346925349	41.1460008120771	75.0812010732694	41.1539973515917
"C07"	1970	1	19	69.216667	41.05	270	7	25	NA	12.1	4.537	5.10979	2.02187871349989	69.2046422534483	41.0499993726798	69.2286917465517	41.0499993726798
"I02"	1970	6	5	78.733333	42.516667	250	8.5	15	NA	15.6	6.182	6.20018	11.4320522309688	78.667988825	42.499048975236	78.79871385689	42.5342476920153
"L02"	1971	5	10	71.4	42.916667	250	7	20	NA	14	5.43	5.7081	5.23105155176437	71.3699027824911	42.9086105258712	71.4301050562074	42.9247155481268
"D07"	1971	10	28	72.25	41.95	270	6	17	NA	14	5.43	5.7081	5.23105155176437	72.2184555617972	41.9499956667578	72.2815444382028	41.9499956667578
"E07"	1972	3	17	69.65	40.283333	270	6.5	20	NA	13.5	5.195	5.55065	4.07331972238907	69.6260505300537	40.2833305214588	69.6739494699463	40.2833305214588
"F07"	1974	1	22	71.9	40.2	270	7	24	NA	12.7	4.819	5.29873	2.7297551876474	71.8839698116037	40.1999988901252	71.9160301883963	40.1999988901252
"G07"	1974	2	20	75.25	40.716667	250	6.5	15	NA	13.2	5.054	5.45618	3.50561485065666	75.2305079818713	40.7112668475255	75.2694951674499	40.7220638555839
"M02"	1974	7	2	75.316667	42.233333	250	6.5	15	NA	12.9	4.913	5.36171	3.0170318852203	75.299495806505	42.2286868354	75.3338407117808	42.2379765899248
"G10"	1974	8	11	73.85	39.383333	200	6.5	15	NA	16.6	6.652	6.66548	23.9431452409689	73.8025446686398	39.2819955164863	73.8975927681171	39.4846493041764
"A03"	1975	2	12	78.8	43.3	250	6	10	NA	13	4.96	5.3932	3.17181610554143	78.7816355783838	43.2951162606747	78.8183673606618	43.3048807862845
"A08"	1977	1	31	70.866667	40.083333	296	7.5	20	6	15.5	6.135	6.15365	10.6174078408272	70.8107061978464	40.1042782151318	70.9225934930258	40.0623606921653
"B08"	1977	6	3	71.816667	40	128	6.5	15	5.3	14.2	5.524	5.77108	5.78156216950208	71.8433367646817	39.9839681933146	71.8433492392671	40.0160256224152
"C08"	1977	12	6	69.7	41.566667	270	7	15	NA	14	5.43	5.7081	5.23105155176437	69.6686427221929	41.566662724341	69.7313572778071	41.566662724341
